ENLIGHTEN Version,4.1.6
Measurement ID,20241210-124759-813875-WP-02071
Serial Number,WP-02071
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,enlighten-acetonitrile_ctrl_20241210-124759-813875-WP-02071
Declared Match,
Declared Score,0
Scan Averaging,2
Boxcar,0
Technique,Raman
Baseline Correction Algo,
ROI Pixel Start,10
ROI Pixel End,2047
ROI Vertical Pixel Start,0
ROI Vertical Pixel End,63
CCD C4,1.0143461591505254e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,0
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,100.0
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
Prefix,enlighten
Suffix,
Preset,
Session Count,7244
Plugin Name,
Integration Time,1000
Timestamp,2024-12-10 12:47:59.813875
Note,
Temperature,10.044919776654524
CCD C0,799.8416748046875
CCD C1,0.15680807828903198
CCD C2,1.0990047485393006e-05
CCD C3,-9.785007470952678e-09
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.041
Laser Enable,True
Laser Power %,35.88870037949164
Laser Temperature,-95.6635622537485
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed
140,821.98,572.50,-703.50
141,822.14,574.86,-613.00
142,822.30,577.21,-687.00
143,822.46,579.57,-649.50
144,822.62,581.92,-680.50
145,822.78,584.28,-624.00
146,822.94,586.63,-576.50
147,823.10,588.99,-590.00
148,823.26,591.34,-598.50
149,823.42,593.69,-529.00
150,823.58,596.04,-692.00
151,823.74,598.39,-547.50
152,823.90,600.74,-686.50
153,824.06,603.09,-596.00
154,824.22,605.44,-621.50
155,824.38,607.79,-584.50
156,824.53,610.13,-560.50
157,824.69,612.48,-565.00
158,824.85,614.83,-664.00
159,825.01,617.17,-648.00
160,825.17,619.52,-560.50
161,825.33,621.86,-652.50
162,825.49,624.20,-619.00
163,825.65,626.54,-720.50
164,825.81,628.89,-584.00
165,825.97,631.23,-687.50
166,826.13,633.57,-634.00
167,826.29,635.90,-724.00
168,826.45,638.24,-625.00
169,826.61,640.58,-688.50
170,826.77,642.92,-596.50
171,826.93,645.25,-640.00
172,827.09,647.59,-710.50
173,827.25,649.92,-674.00
174,827.41,652.26,-624.00
175,827.57,654.59,-658.00
176,827.73,656.92,-708.00
177,827.89,659.26,-662.00
178,828.05,661.59,-639.00
179,828.21,663.92,-624.00
180,828.37,666.25,-625.00
181,828.53,668.58,-652.00
182,828.69,670.90,-603.00
183,828.85,673.23,-661.00
184,829.01,675.56,-665.00
